nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
RedDoorz near Taman Mini Jakarta,"Jl. Dukuh 6 no.38 Kel. Dukuh Kec. Kramat Jati rt.6 rw.2 Jakarta Timur, DKI Jakarta",Rp251.418,1,1,Jakarta Timur,-6.290087274778090,106.87768458185300
RedDoorz @ Jalan Gatot Subroto Jakarta,"Komplek Timah, Jl. Gatot Subroto No.3A, Menteng Dalam, Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Rp240.786,1,1,Jakarta Selatan,-6.2396087554367900,106.83805846613800
Urbanview Hotel Kebayoran Baru Blok S,"Jl. Senayan No. 87 Blok S, Kel. Rawa Barat, Kec. Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp235.750,6,9,Jakarta Selatan,-6.2378714851660100,106.81691018185300
RedDoorz Plus near Gandaria City Mall 2,"Jl. Ciputat Raya No.1, RT.3/RW.7, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, DKI Jakarta",Rp304.750,3,5,Jakarta Selatan,-6.260893728286290,106.77569654137700
Brahma Hotel RedPartner,"Jalan Utan Kayu Raya No. 14A, RT.1/RW.1, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp187.220,4,4,Jakarta Timur,-6.193799770007010,106.86285600883600
RedDoorz Plus near Semanggi,"Jl. Bendungan Walahar Buntu No.1, RT.13/RW.2, Bendungan Hilir, Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Rp184.506,3,3,Jakarta Pusat,-6.216607024931220,106.81168019997200
Urbanview Odori Residence Pondok Indah,"Jalan Pinang Emas 1 No UT 34, Pondok Indah, Jakarta Selatan",Rp299.250,2,2,Jakarta Selatan,-6.264914365002990,106.77937918370500
RedDoorz Plus near Green Pramuka Square Mall,"Jl Rawasari Barat 1 No.9, Cempaka Putih Jakarta Cempaka Putih, Jakarta, Indonesia",Rp200.677,3,5,Jakarta Pusat,-6.1837080337355300,106.86990424322900
RedDoorz near JIEXPO Kemayoran 2,"Jl. Tembaga Raya No.25, RT.8/RW.4, Harapan Mulya, Kec. Kemayoran, Kota Jakarta Pusat, DKI Jakarta",Rp200.813,2,2,Jakarta Pusat,-6.171918929104280,106.85419968185200
OYO 90422 Mall Of Indonesia,"Jl. Gading Batavia Blok LC8 No. 20-21, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Rp120.648,1,1,Jakarta Utara,-6.149292289007790,106.89975568370400
OYO 2230 Ava Guest House,"Komplek Ruko Permata Ancol, Jl. R.E. Martadinata Blok E no. 1 Pademangan - Jakarta 14420",Rp218.401,1,1,Jakarta Utara,-6.130168613343630,106.83882939719600
OYO 91074 Stariez Senen Syariah,"5, Jl Bungur Besar V No.5 RT.002/RW.004  Bungur, Senen, Jakarta , Jakarta",Rp135.963,1,1,Jakarta Pusat,-6.171886329155780,106.84453791254100
Eascot Hotel RedPartner,"Jalan D. Singkarak Blok G1 no. 49, Bendungan Hilir, Kecamatan Tanah Abang",Rp298.711,2,2,Jakarta Pusat,-6.2081354489028800,106.81012084311700
RedDoorz near Plaza Senayan,"Jalan Hang Lekir II No.24, Kebayoran Baru, RT.11/RW.6, Gunung, Kota Jakarta Selatan, DKI Jakarta",Rp201.875,1,1,Jakarta Selatan,-6.232254079503420,106.79389909534500
OYO 90342 Kemang Garden,"Jl. Kemang Utara VII G No.19, Kemang, Bangka, Kec. Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Rp330.096,4,6,Jakarta Selatan,-6.2560619316960900,106.82217057391800
RedDoorz @ Stariez Kemang,"Jl. Bank III No.1, RT.5/RW.7, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, 12720",Rp185.115,1,1,Jakarta Selatan,-6.251139849913990,106.80998808185300
Penthouse Hotel,"Jl. Mangga Besar IV E No.25 RT 007/RW 002, Tamansari, Jakarta Barat, Indonesia",Rp177.220,4,4,Jakarta Barat,-6.151107550675160,106.82234909719600
Capital O 90066 Tobana Pejaten House,"Jl. Pejaten Barat Raya No. 30 B, Pejaten Barat, Kec. Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",Rp207.100,3,3,Jakarta Selatan,-6.277866634521600,106.82547419719700
RedDoorz Syariah Plus near Pancoran 2,"Jl. Pancoran Timur Raya No.22, RT.9/RW.8, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp189.859,1,1,Jakarta Selatan,-6.249463228874560,106.84785642603300
OYO 90558 House Of Livina,"47, Jalan Salemba Tengah No.47, Paseban, Senen Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jakarta",Rp187.083,1,1,Jakarta Pusat,-6.192821134569120,106.85327736650800
OYO 106 Sarkawi Residence Near Kartini Hospital,"Jl. Sarkawi No. 26, RT. 4 / RW. 3, Kby. Lama Utara, Kby. Lama, Jakarta Selatan 12240, Jakarta, Indonesia",Rp379.079,1,1,Jakarta Selatan,-6.242397725856790,106.78122169719700
RedDoorz Plus near Lippo Mall Kemang 2,"Jl. Kemang VI No.8, RT.12/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Rp326.700,1,1,Jakarta Selatan,-6.261784028612910,106.81496279905000
RedDoorz Plus @ Kemayoran,"Jl. Kepu Timur Raya No. 185, Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",Rp143.383,1,1,Jakarta Pusat,-6.165260160247680,106.84553241254100
RedDoorz Plus near Mall Kelapa Gading,"Jl. Raya Kelapa Nias LB 20 No. 09, Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp226.313,2,2,Jakarta Utara,-6.154047691452240,106.90809668000000
RedDoorz Plus near Jakarta Kota Station,"Jl. Pintu Besar Selatan No.42, RT.10/RW.5, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, DKI Jakarta",Rp149.500,2,2,Jakarta Barat,-6.141060555602660,106.81488769904800
RedDoorz Resort @ Taman Wisata Mangrove,"Jl. Garden House RT 4 RW 3, Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Rp213.259,4,4,Jakarta Utara,-6.105205843803630,106.73558889719600
Bendungan Hilir Residence,"Jl. Bendungan Jatiluhur No. 77, Tanah Abang, Bendungan Hilir, Jakarta, Indonesia",Rp427.425,2,2,Jakarta Pusat,-6.213011342417410,106.81091058000100
RedDoorz @ Tondano Benhil,"Jl. Danau Tondano No.5, Benhil, Jakarta, Indonesia",Rp226.842,1,1,Jakarta Pusat,-6.207283679048740,106.80623231439300
RedDoorz Plus near Mall Slipi Jaya,"Jl. Kemanggisan Utama Blok F No.3, Slipi, DKI Jakarta, Indonesia",Rp239.343,1,1,Jakarta Barat,-6.18873169872974,106.78738114322900
K-Style Eco Hotel Jakarta,"Jl. Bungur Besar Raya, No. 31, Kelurahan Gunung Sahari Selatan, Kecamatan Kemayoran, Jakarta, Indonesia",Rp212.500,2,2,Jakarta Pusat,-6.159376357549030,106.8394611530160
Marson Interkota Residence RedPartner,"Jl. Komp. Interkota Indah Blok C4 No. 9-10, RT.12/RW.7, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",Rp119.025,2,2,Jakarta Barat,-6.165997893734900,106.72428275672100
Pejaten Valley Residence,"Jl. Pejaten Barat IV No.5B RT.8/RW.8, Pejaten Barat, Kec. Pasar Minggu, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp429.700,3,5,Jakarta Selatan,-6.276347092064920,106.82846592603300
Habibah Syariah Hotel,"Jl. Tanah Merah No. 76, Tugu Selatan, Koja, Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Rp174.685,2,2,Jakarta Utara,-6.140056413390970,106.90920192603200
Krekot Residence RedPartner,"Jl.Krekot Bunder Raya, No.4., Pasar Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, DKI Jakarta",Rp149.500,2,2,Jakarta Pusat,-6.1576065771935,106.83200459767300
Bobobox ITC Kuningan Jakarta,"Jl. Prof. Dr. Satrio No.18, Kuningan, Kec. Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",Rp268.000,2,2,Jakarta Selatan,-6.223602383445390,106.82646249904900
OYO 141 Fatmawati Cozy Residence Near RSUD Kebayoran Baru,"Jl. Abuserin No. 2A, RT 10 / RW 06, Gandaria Selatan, Cilandak, Jakarta Selatan, Indonesia",Rp247.477,1,1,Jakarta Selatan,-6.275313539944730,106.79733225301700
Reddoorz Plus @ Cipete Damai,"Jl. Damai Raya No. 47, Cipete, Jakarta, Indonesia",Rp196.325,2,2,Jakarta Selatan,-6.259708573799750,106.80281382603300
RedDoorz Plus near Halim Perdanakusuma 2,"Jl. Jengki Raya Blok Mawar No.3 RT.03 RW.09, Kebon Pala, Halim Perdana Kusumah, Jakarta, Indonesia",Rp270.270,1,1,Jakarta Timur,-6.259446833144550,106.87856111068900
One2 Residence,"Jl. Anggrek Neli Murni No.Blok C RT.10/RW.1, Kemanggisan Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp234.000,1,1,Jakarta Barat,-6.187799767951530,106.79526862603300
RedDoorz near Transmart Kalimalang,"Jalan Lidi, No.29, Pondok Kelapa, Kecamatan Duren Sawit, Jakarta Timur, DKI Jakarta",Rp224.353,1,1,Jakarta Timur,-6.247907367790000,106.93317412603300
LeGreen Suite Tebet,"Jl. Tebet Timur Dalam II No.24 - Jakarta Selatan, DKI Jakarta",Rp307.271,2,2,Jakarta Selatan,-6.230133417028790,106.85618304137700
RedDoorz near Tarumanagara University,"Jl. Rawa Bahagia V No 6A RT 5 / RW 2, Grogol Petamburan, Grogol, Jakarta Barat, DKI Jakarta, Indonesia",Rp169.575,1,1,Jakarta Barat,-6.164447726379370,106.79722779719600
RedDoorz @ Glodok,"Jl. Pancoran No.42, RW.6, Glodok, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110",Rp138.460,3,3,Jakarta Barat,-6.141291541083810,106.81355933185200
RedDoorz @ Jalan Biak Roxy Jakarta,"Jl. Biak No. 33B, Cideng, Jakarta Pusat, Indonesia",Rp174.250,2,2,Jakarta Pusat,-6.1666497939704400,106.80811627021300
KoolKost @ Tanjung Duren Utara,"JL. Tanjung Duren Utara IIIE, no 71 kota jakarta barat, daerah khusus ibu kota jakarta",Rp235.886,1,1,Jakarta Barat,-6.170917295513050,106.78339656650800
